Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned from Libraries and Classrooms,,,,Utah,Granite School District,October 2022,Formal Challenge,2022-2023
"Adler, Dahlia",Cool for the Summer,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Aguirre, Ann",Public Enemies,Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,2022-2023
"Ahdieh, Renée",The Beautiful,Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,2022-2023
"Ahdieh, Renée",The Damned,Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,2022-2023
"Ahmadi, Arvin",How It All Blew Up,Banned from Libraries,,,,Missouri,Willard Public Schools,September 2022,Formal Challenge,2022-2023
"Albertalli, Becky",Leah on the Offbeat,Banned from Libraries and Classrooms,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Albertalli, Becky",Leah on the Offbeat,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Albertalli, Becky",Leah on the Offbeat,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned from Libraries and Classrooms,,,,Michigan,Davison Community Schools,August 2022,Informal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,2022-2023
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda,Banned from Libraries,,,,Utah,Canyons School District,AY 2022-2023,Formal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned from Libraries,,,,Florida,Clay County School District,September 2022,Formal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned from Libraries and Classrooms,,,,Florida,Volusia County Schools,June 2023,Administration,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,North Dakota,Williston Basin School District #7,September 2022,Informal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,2022-2023
"Albertalli, Becky",The Upside of Unrequited,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,2022-2023
"Alexander, Pat",The Lion Children's Bible: Stories from the Old and New Testaments,Banned from Libraries and Classrooms,"Evans, Lyndon",,,Florida,Brevard Public Schools,June 2023,Informal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,Colorado,Greeley-Evans Weld County School District 6,February 2023,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned from Libraries,,"Forney, Ellen",,Florida,Collier County Public Schools,March 2023,Administration,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Escambia County Public Schools,September 2022,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Flagler Schools,October 2022,Formal Challenge,2022-2023
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,"Forney, Ellen",,Florida,Highlands Schools,September 2022,Informal Challenge,2022-2023
