Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Academic Year
"Lyga, Barry",Boy Toy,Banned,,,,Florida,School District of Manatee County,November 2023,Formal Challenge,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Florida,Seminole County Public Schools,September 2023,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Iowa,Central Lyon Community School District,October 2023,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Iowa,Edgewood-Colesburg Community School District,June 2024,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Iowa,Gilbert Community School District,June 2024,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned pending investigation,,,,Iowa,Iowa City Community School District,October 2023,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Iowa,Union Community School District,June 2024,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned pending investigation,,,,Iowa,West Des Moines Community Schools,June 2024,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Maine,Maine School Administrative District #6,August 2023,Formal Challenge,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,North Carolina,Burke County Public Schools,August 2023,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Texas,Conroe Independent School District,September 2023,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned pending investigation,,,,Texas,Fort Worth Independent School District,August 2023,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Texas,Katy Independent School District,August 2023,Administration,2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Texas,Plano Independent School District,October 2023,Formal Challenge,2023-2024
"Lyga, Barry",Boy Toy,Banned by restriction,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Lyga, Barry",Boy Toy,Banned,,,,Wisconsin,Menomonee Falls Schools,October 2023,Formal Challenge,2023-2024
"Lyga, Barry",Game,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Lyga, Barry",Game,Banned pending investigation,,,,Florida,Orange County Public Schools,December 2023,Administration,2023-2024
"Lyga, Barry",I Hunt Killers,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Lyga, Barry",I Hunt Killers,Banned pending investigation,,,,Florida,Orange County Public Schools,December 2023,Administration,2023-2024
"Lyga, Barry",Mangaman,Banned by restriction,,"Doran, Colleen",,Wyoming,Natrona County Schools,September 2023,Administration,2023-2024
"Lyga, Barry",The Astonishing Adventures of Fanboy and Goth Girl,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Lynch, Chris",Iceman,Banned,,,,Florida,Collier County Public Schools,October 2023,Administration,2023-2024
"Lynch, Chris",Inexcusable,Banned pending investigation,,,,Iowa,Nevada Community School District,October 2023,Administration,2023-2024
"Lynch, Chris",Irreversible,Banned,,,,Texas,North East Independent School District,June 2024,Administration,2023-2024
"Lynch, Chris",Killing Time in Crystal City,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Lynch, Janet Nichols",Messed Up,Banned pending investigation,,,,Florida,Union County School District,August 2023,Administration,2023-2024
"Lyon, George Ella",Dreamplace,Banned pending investigation,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Lyons, Mary E.",Sorrow's Kitchen: The Life and Folklore of Zora Neale Hurston,Banned by restriction,,,,Florida,Escambia County Public Schools,August 2023,Administration,2023-2024
"Maas, Sarah J.","""Multiplication Is for White People"": Raising Expectations for Other People's Children",Banned,,,,South Carolina,Lexington-Richland School District 5,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Florida,Hernando County Schools,October 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Florida,Lake County Schools,July 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Florida,Orange County Public Schools,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Florida,School District of Manatee County,December 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Florida,Seminole County Public Schools,September 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Georgia,Marietta City Schools,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,AGWSR Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Boone Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,CAM Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Cedar Falls Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Central Lyon Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Clayton Ridge Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Clear Lake Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Council Bluffs Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Interstate 35 Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Iowa City Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Linn-Mar Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Mason City Community Schools,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Mediapolis Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Nevada Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Okoboji Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Oskaloosa Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Red Oak School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Sigourney Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Solon Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,South Tama County Community School District,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Spencer Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Union Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Urbandale Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,Waterloo Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned pending investigation,,,,Iowa,West Des Moines Community Schools,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Western Dubuque Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Iowa,Winterset Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned by restriction,,,,Maine,Hermon School Department,August 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned by restriction,,,,Maryland,Caroll County School District,August 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,North Carolina,Burke County Public Schools,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,North Carolina,Charlotte-Mecklenburg Schools,October 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,South Carolina,Lexington-Richland School District 5,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,South Carolina,Spartanburg County School District One,February 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Tennessee,Rutherford County Schools,February 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Texas,Fort Worth Independent School District,August 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Texas,Plano Independent School District,October 2023,Informal Challenge,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Virginia,Hanover County Public Schools,August 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned by restriction,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Wisconsin,Howard-Suamic School District,November 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Frost and Starlight,Banned,,,,Wisconsin,Menomonee Falls Schools,October 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Florida,Lake County Schools,July 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Florida,Nassau County School District,November 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Florida,Seminole County Public Schools,September 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Georgia,Marietta City Schools,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Aplington-Parkersburg Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Boone Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,CAM Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Cedar Falls Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Central Lyon Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Clayton Ridge Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Clear Lake Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Council Bluffs Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Davenport Community Schools,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Decorah Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Glenwood Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Grundy Center Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Interstate 35 Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Iowa City Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Linn-Mar Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Louisa-Muscatine Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Marshalltown Community School District,September 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Mason City Community Schools,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Mediapolis Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Nevada Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Northeast Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Okoboji Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Oskaloosa Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Ottumwa Community School District,January 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Red Oak School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Shenandoah Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Sigourney Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Solon Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,South Tama County Community School District,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Southeast Polk Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Spencer Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Union Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Urbandale Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Waterloo Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,Waukee Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned pending investigation,,,,Iowa,West Des Moines Community Schools,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Iowa,Winterset Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned by restriction,,,,Maine,Hermon School Department,August 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Maryland,Caroll County School District,August 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,North Carolina,Burke County Public Schools,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,North Carolina,Catawba County Schools,September 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,South Carolina,Lexington-Richland School District 5,November 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,South Carolina,Spartanburg County School District One,February 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Tennessee,Rutherford County Schools,February 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Texas,Fort Bend Independent School District,November 2023,"Formal Challenge, Administration",2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Texas,Fort Worth Independent School District,August 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Texas,Plano Independent School District,October 2023,Informal Challenge,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned by restriction,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Wisconsin,Howard-Suamic School District,November 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned,,,,Wisconsin,Menomonee Falls Schools,October 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Mist and Fury,Banned by restriction,,,,Wyoming,Laramie County School District No. 1,April 2024,Formal Challenge,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Florida,Collier County Public Schools,April 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Florida,Lake County Schools,July 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Florida,Orange County Public Schools,February 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Florida,Polk County Public Schools,June 2024,Formal Challenge,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Florida,School District of Manatee County,October 2023,Unclear,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Florida,Seminole County Public Schools,September 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Aplington-Parkersburg Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Boone Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Clayton Ridge Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Clear Lake Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Interstate 35 Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Iowa City Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Linn-Mar Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Louisa-Muscatine Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Mason City Community Schools,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Mediapolis Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Okoboji Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Oskaloosa Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,South Tama County Community School District,December 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Spencer Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Union Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Urbandale Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Waterloo Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,Waukee Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned pending investigation,,,,Iowa,West Des Moines Community Schools,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Iowa,Winterset Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned by restriction,,,,Maine,Hermon School Department,August 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Maryland,Caroll County School District,August 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,North Carolina,Burke County Public Schools,October 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,South Carolina,Lexington-Richland School District 5,December 2023,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,South Carolina,Spartanburg County School District One,February 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Tennessee,Rutherford County Schools,February 2024,Administration,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Texas,Fort Worth Independent School District,August 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Silver Flames,Banned,,,,Texas,Plano Independent School District,October 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned by restriction,,,,Wisconsin,Elkhorn Area School District,November 2023,"Informal Challenge, Administration",2023-2024
"Maas, Sarah J.",A ​Court of Silver Flames,Banned,,,,Wisconsin,Howard-Suamic School District,November 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Florida,Hernando County Schools,November 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Florida,Lake County Schools,July 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Florida,Nassau County School District,November 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Florida,Okaloosa County School District,August 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned by restriction,,,,Florida,Orange County Public Schools,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Florida,Polk County Public Schools,June 2024,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Florida,Seminole County Public Schools,September 2023,Formal Challenge,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Georgia,Marietta City Schools,December 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Boone Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,CAM Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Cedar Falls Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Central Lyon Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Clear Lake Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Council Bluffs Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Dallas Center-Grimes Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Davenport Community Schools,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Decorah Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Glenwood Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Grundy Center Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Interstate 35 Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Iowa City Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Linn-Mar Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Louisa-Muscatine Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Marshalltown Community School District,September 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Mason City Community Schools,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Mediapolis Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Muscatine Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Northeast Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Norwalk Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned pending investigation,,,,Iowa,Okoboji Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Oskaloosa Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Red Oak School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Shenandoah Community School District,June 2024,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Sigourney Community School District,October 2023,Administration,2023-2024
"Maas, Sarah J.",A Court of Thorns and Roses,Banned,,,,Iowa,Solon Community School District,June 2024,Administration,2023-2024
